patch_id,source_stem,class_id,class_name,class_group,patch_image_path,patch_mask_path,area_pixels,area_ratio,quality_score
87_c70_comp3,87,70,pineapple,tail,87_c70_comp3_img.png,87_c70_comp3_mask.png,5069,0.018448,0.018448
106_c22_comp1,106,22,chocolate,tail,106_c22_comp1_img.png,106_c22_comp1_mask.png,7640,0.015917,0.015917
121_c65_comp1,121,65,peach,tail,121_c65_comp1_img.png,121_c65_comp1_mask.png,13374,0.068024,0.068024
121_c65_comp2,121,65,peach,tail,121_c65_comp2_img.png,121_c65_comp2_mask.png,12655,0.064367,0.064367
125_c100_comp1,125,100,white radish,tail,125_c100_comp1_img.png,125_c100_comp1_mask.png,13337,0.067835,0.067835
132_c94_comp1,132,94,tea,tail,132_c94_comp1_img.png,132_c94_comp1_mask.png,814,0.012997,0.012997
138_c77_comp1,138,77,rape,tail,138_c77_comp1_img.png,138_c77_comp1_mask.png,30217,0.098363,0.098363
145_c39_comp1,145,39,garlic,tail,145_c39_comp1_img.png,145_c39_comp1_mask.png,37728,0.015991,0.015991
145_c40_comp1,145,40,ginger,tail,145_c40_comp1_img.png,145_c40_comp1_mask.png,23845,0.010107,0.010107
152_c22_comp1,152,22,chocolate,tail,152_c22_comp1_img.png,152_c22_comp1_mask.png,2162,0.03299,0.03299
152_c22_comp2,152,22,chocolate,tail,152_c22_comp2_img.png,152_c22_comp2_mask.png,1692,0.025818,0.025818
152_c22_comp3,152,22,chocolate,tail,152_c22_comp3_img.png,152_c22_comp3_mask.png,5050,0.077057,0.077057
160_c4_comp1,160,4,avocado,tail,160_c4_comp1_img.png,160_c4_comp1_mask.png,7678,0.039052,0.039052
171_c88_comp1,171,88,snow peas,tail,171_c88_comp1_img.png,171_c88_comp1_mask.png,19863,0.025257,0.025257
174_c94_comp1,174,94,tea,tail,174_c94_comp1_img.png,174_c94_comp1_mask.png,6087,0.09288,0.09288
205_c53_comp1,205,53,mango,tail,205_c53_comp1_img.png,205_c53_comp1_mask.png,15271,0.198841,0.198841
212_c78_comp1,212,78,raspberry,tail,212_c78_comp1_img.png,212_c78_comp1_mask.png,33796,0.201047,0.201047
220_c40_comp1,220,40,ginger,tail,220_c40_comp1_img.png,220_c40_comp1_mask.png,683654,0.071324,0.071324
221_c81_comp1,221,81,salad,tail,221_c81_comp1_img.png,221_c81_comp1_mask.png,26934,0.136993,0.136993
236_c4_comp1,236,4,avocado,tail,236_c4_comp1_img.png,236_c4_comp1_mask.png,476540,0.045358,0.045358
236_c4_comp2,236,4,avocado,tail,236_c4_comp2_img.png,236_c4_comp2_mask.png,925618,0.088102,0.088102
244_c67_comp1,244,67,pear,tail,244_c67_comp1_img.png,244_c67_comp1_mask.png,8337,0.127213,0.127213
247_c4_comp1,247,4,avocado,tail,247_c4_comp1_img.png,247_c4_comp1_mask.png,3474,0.0276,0.0276
252_c53_comp1,252,53,mango,tail,252_c53_comp1_img.png,252_c53_comp1_mask.png,5178,0.07901,0.07901
259_c94_comp1,259,94,tea,tail,259_c94_comp1_img.png,259_c94_comp1_mask.png,9452,0.048075,0.048075
262_c79_comp1,262,79,red beans,tail,262_c79_comp1_img.png,262_c79_comp1_mask.png,10358,0.054677,0.054677
267_c98_comp1,267,98,watermelon,extreme_tail,267_c98_comp1_img.png,267_c98_comp1_mask.png,25944,0.395874,0.395874
268_c39_comp1,268,39,garlic,tail,268_c39_comp1_img.png,268_c39_comp1_mask.png,4281,0.021774,0.021774
272_c39_comp1,272,39,garlic,tail,272_c39_comp1_img.png,272_c39_comp1_mask.png,3871,0.096775,0.096775
276_c40_comp1,276,40,ginger,tail,276_c40_comp1_img.png,276_c40_comp1_mask.png,43246,0.219961,0.219961
280_c100_comp1,280,100,white radish,tail,280_c100_comp1_img.png,280_c100_comp1_mask.png,6484,0.002115,0.002115
280_c100_comp2,280,100,white radish,tail,280_c100_comp2_img.png,280_c100_comp2_mask.png,170730,0.055685,0.055685
285_c94_comp1,285,94,tea,tail,285_c94_comp1_img.png,285_c94_comp1_mask.png,65946,0.036025,0.036025
293_c81_comp1,293,81,salad,tail,293_c81_comp1_img.png,293_c81_comp1_mask.png,16152,0.082153,0.082153
296_c14_comp1,296,14,candy,extreme_tail,296_c14_comp1_img.png,296_c14_comp1_mask.png,34283,0.006391,0.006391
296_c14_comp2,296,14,candy,extreme_tail,296_c14_comp2_img.png,296_c14_comp2_mask.png,16589,0.003093,0.003093
297_c44_comp1,297,44,hanamaki baozi,tail,297_c44_comp1_img.png,297_c44_comp1_mask.png,34253,0.130665,0.130665
298_c78_comp1,298,78,raspberry,tail,298_c78_comp1_img.png,298_c78_comp1_mask.png,719,0.010971,0.010971
298_c78_comp2,298,78,raspberry,tail,298_c78_comp2_img.png,298_c78_comp2_mask.png,933,0.014236,0.014236
298_c78_comp3,298,78,raspberry,tail,298_c78_comp3_img.png,298_c78_comp3_mask.png,2911,0.044418,0.044418
298_c78_comp4,298,78,raspberry,tail,298_c78_comp4_img.png,298_c78_comp4_mask.png,671,0.010239,0.010239
299_c39_comp1,299,39,garlic,tail,299_c39_comp1_img.png,299_c39_comp1_mask.png,8810,0.028678,0.028678
299_c39_comp2,299,39,garlic,tail,299_c39_comp2_img.png,299_c39_comp2_mask.png,4053,0.013193,0.013193
302_c76_comp1,302,76,pumpkin,tail,302_c76_comp1_img.png,302_c76_comp1_mask.png,32526,0.160829,0.160829
308_c44_comp1,308,44,hanamaki baozi,tail,308_c44_comp1_img.png,308_c44_comp1_mask.png,81573,0.411685,0.411685
312_c81_comp1,312,81,salad,tail,312_c81_comp1_img.png,312_c81_comp1_mask.png,14317,0.21846,0.21846
315_c4_comp1,315,4,avocado,tail,315_c4_comp1_img.png,315_c4_comp1_mask.png,23010,0.074902,0.074902
319_c7_comp1,319,7,bean sprouts,tail,319_c7_comp1_img.png,319_c7_comp1_mask.png,91949,0.122599,0.122599
327_c78_comp1,327,78,raspberry,tail,327_c78_comp1_img.png,327_c78_comp1_mask.png,6614,0.037883,0.037883
328_c22_comp1,328,22,chocolate,tail,328_c22_comp1_img.png,328_c22_comp1_mask.png,1023,0.006055,0.006055
328_c22_comp2,328,22,chocolate,tail,328_c22_comp2_img.png,328_c22_comp2_mask.png,2574,0.015234,0.015234
334_c40_comp1,334,40,ginger,tail,334_c40_comp1_img.png,334_c40_comp1_mask.png,104900,0.102441,0.102441
346_c22_comp1,346,22,chocolate,tail,346_c22_comp1_img.png,346_c22_comp1_mask.png,28477,0.163106,0.163106
346_c22_comp2,346,22,chocolate,tail,346_c22_comp2_img.png,346_c22_comp2_mask.png,9192,0.052648,0.052648
353_c85_comp1,353,85,shellfish,tail,353_c85_comp1_img.png,353_c85_comp1_mask.png,514700,0.184116,0.184116
356_c28_comp1,356,28,date,extreme_tail,356_c28_comp1_img.png,356_c28_comp1_mask.png,10182,0.003642,0.003642
356_c28_comp2,356,28,date,extreme_tail,356_c28_comp2_img.png,356_c28_comp2_mask.png,7707,0.002757,0.002757
356_c79_comp1,356,79,red beans,tail,356_c79_comp1_img.png,356_c79_comp1_mask.png,28966,0.010362,0.010362
356_c79_comp2,356,79,red beans,tail,356_c79_comp2_img.png,356_c79_comp2_mask.png,7883,0.00282,0.00282
356_c79_comp3,356,79,red beans,tail,356_c79_comp3_img.png,356_c79_comp3_mask.png,17697,0.00633,0.00633
356_c79_comp4,356,79,red beans,tail,356_c79_comp4_img.png,356_c79_comp4_mask.png,7137,0.002553,0.002553
356_c100_comp1,356,100,white radish,tail,356_c100_comp1_img.png,356_c100_comp1_mask.png,128233,0.045871,0.045871
365_c63_comp1,365,63,oyster mushroom,extreme_tail,365_c63_comp1_img.png,365_c63_comp1_mask.png,47819,0.005985,0.005985
365_c63_comp2,365,63,oyster mushroom,extreme_tail,365_c63_comp2_img.png,365_c63_comp2_mask.png,211560,0.026477,0.026477
365_c63_comp3,365,63,oyster mushroom,extreme_tail,365_c63_comp3_img.png,365_c63_comp3_mask.png,114161,0.014287,0.014287
374_c71_comp1,374,71,pizza,tail,374_c71_comp1_img.png,374_c71_comp1_mask.png,98698,0.502004,0.502004
384_c29_comp1,384,29,dried cranberries,extreme_tail,384_c29_comp1_img.png,384_c29_comp1_mask.png,1695,0.006744,0.006744
384_c29_comp2,384,29,dried cranberries,extreme_tail,384_c29_comp2_img.png,384_c29_comp2_mask.png,699,0.002781,0.002781
384_c29_comp3,384,29,dried cranberries,extreme_tail,384_c29_comp3_img.png,384_c29_comp3_mask.png,1821,0.007245,0.007245
414_c75_comp1,414,75,pudding,extreme_tail,414_c75_comp1_img.png,414_c75_comp1_mask.png,69770,0.254709,0.254709
415_c88_comp1,415,88,snow peas,tail,415_c88_comp1_img.png,415_c88_comp1_mask.png,47369,0.240931,0.240931
415_c88_comp2,415,88,snow peas,tail,415_c88_comp2_img.png,415_c88_comp2_mask.png,4175,0.021235,0.021235
415_c88_comp3,415,88,snow peas,tail,415_c88_comp3_img.png,415_c88_comp3_mask.png,19591,0.099645,0.099645
423_c79_comp1,423,79,red beans,tail,423_c79_comp1_img.png,423_c79_comp1_mask.png,26349,0.008288,0.008288
423_c79_comp2,423,79,red beans,tail,423_c79_comp2_img.png,423_c79_comp2_mask.png,15326,0.004821,0.004821
423_c79_comp3,423,79,red beans,tail,423_c79_comp3_img.png,423_c79_comp3_mask.png,23330,0.007339,0.007339
423_c79_comp4,423,79,red beans,tail,423_c79_comp4_img.png,423_c79_comp4_mask.png,6264,0.00197,0.00197
423_c79_comp5,423,79,red beans,tail,423_c79_comp5_img.png,423_c79_comp5_mask.png,4916,0.001546,0.001546
425_c100_comp1,425,100,white radish,tail,425_c100_comp1_img.png,425_c100_comp1_mask.png,361699,0.106835,0.106835
426_c77_comp1,426,77,rape,tail,426_c77_comp1_img.png,426_c77_comp1_mask.png,19111,0.097204,0.097204
428_c54_comp1,428,54,melon,tail,428_c54_comp1_img.png,428_c54_comp1_mask.png,36619,0.133685,0.133685
451_c71_comp1,451,71,pizza,tail,451_c71_comp1_img.png,451_c71_comp1_mask.png,27899,0.425705,0.425705
452_c94_comp1,452,94,tea,tail,452_c94_comp1_img.png,452_c94_comp1_mask.png,1977,0.010056,0.010056
457_c100_comp1,457,100,white radish,tail,457_c100_comp1_img.png,457_c100_comp1_mask.png,10361,0.047171,0.047171
457_c100_comp2,457,100,white radish,tail,457_c100_comp2_img.png,457_c100_comp2_mask.png,6058,0.02758,0.02758
457_c100_comp3,457,100,white radish,tail,457_c100_comp3_img.png,457_c100_comp3_mask.png,5850,0.026634,0.026634
475_c55_comp1,475,55,milk,tail,475_c55_comp1_img.png,475_c55_comp1_mask.png,45642,0.186886,0.186886
478_c55_comp1,478,55,milk,tail,478_c55_comp1_img.png,478_c55_comp1_mask.png,13336,0.119146,0.119146
481_c39_comp1,481,39,garlic,tail,481_c39_comp1_img.png,481_c39_comp1_mask.png,2151,0.031867,0.031867
487_c22_comp1,487,22,chocolate,tail,487_c22_comp1_img.png,487_c22_comp1_mask.png,2825,0.019092,0.019092
487_c22_comp2,487,22,chocolate,tail,487_c22_comp2_img.png,487_c22_comp2_mask.png,8324,0.056255,0.056255
487_c22_comp3,487,22,chocolate,tail,487_c22_comp3_img.png,487_c22_comp3_mask.png,11298,0.076354,0.076354
489_c71_comp1,489,71,pizza,tail,489_c71_comp1_img.png,489_c71_comp1_mask.png,22045,0.126266,0.126266
494_c39_comp1,494,39,garlic,tail,494_c39_comp1_img.png,494_c39_comp1_mask.png,3694,0.018789,0.018789
494_c88_comp1,494,88,snow peas,tail,494_c88_comp1_img.png,494_c88_comp1_mask.png,13911,0.070755,0.070755
496_c78_comp1,496,78,raspberry,tail,496_c78_comp1_img.png,496_c78_comp1_mask.png,3325,0.0191,0.0191
496_c78_comp2,496,78,raspberry,tail,496_c78_comp2_img.png,496_c78_comp2_mask.png,3534,0.020301,0.020301
496_c78_comp3,496,78,raspberry,tail,496_c78_comp3_img.png,496_c78_comp3_mask.png,3301,0.018963,0.018963
496_c78_comp4,496,78,raspberry,tail,496_c78_comp4_img.png,496_c78_comp4_mask.png,8902,0.051137,0.051137
496_c78_comp5,496,78,raspberry,tail,496_c78_comp5_img.png,496_c78_comp5_mask.png,4320,0.024816,0.024816
498_c39_comp1,498,39,garlic,tail,498_c39_comp1_img.png,498_c39_comp1_mask.png,2772,0.010807,0.010807
500_c4_comp1,500,4,avocado,tail,500_c4_comp1_img.png,500_c4_comp1_mask.png,9653,0.047252,0.047252
500_c4_comp2,500,4,avocado,tail,500_c4_comp2_img.png,500_c4_comp2_mask.png,7206,0.035274,0.035274
500_c4_comp3,500,4,avocado,tail,500_c4_comp3_img.png,500_c4_comp3_mask.png,5828,0.028528,0.028528
503_c22_comp1,503,22,chocolate,tail,503_c22_comp1_img.png,503_c22_comp1_mask.png,7158,0.03897,0.03897
503_c22_comp2,503,22,chocolate,tail,503_c22_comp2_img.png,503_c22_comp2_mask.png,1463,0.007965,0.007965
503_c22_comp3,503,22,chocolate,tail,503_c22_comp3_img.png,503_c22_comp3_mask.png,1551,0.008444,0.008444
515_c32_comp1,515,32,eggplant,tail,515_c32_comp1_img.png,515_c32_comp1_mask.png,78315,0.10442,0.10442
515_c77_comp1,515,77,rape,tail,515_c77_comp1_img.png,515_c77_comp1_mask.png,50155,0.066873,0.066873
517_c53_comp1,517,53,mango,tail,517_c53_comp1_img.png,517_c53_comp1_mask.png,5979,0.029122,0.029122
517_c53_comp2,517,53,mango,tail,517_c53_comp2_img.png,517_c53_comp2_mask.png,1647,0.008022,0.008022
517_c53_comp3,517,53,mango,tail,517_c53_comp3_img.png,517_c53_comp3_mask.png,23238,0.113184,0.113184
517_c53_comp4,517,53,mango,tail,517_c53_comp4_img.png,517_c53_comp4_mask.png,752,0.003663,0.003663
517_c53_comp5,517,53,mango,tail,517_c53_comp5_img.png,517_c53_comp5_mask.png,818,0.003984,0.003984
518_c77_comp1,518,77,rape,tail,518_c77_comp1_img.png,518_c77_comp1_mask.png,27445,0.09388,0.09388
535_c49_comp1,535,49,kiwi,tail,535_c49_comp1_img.png,535_c49_comp1_mask.png,455950,0.045951,0.045951
535_c54_comp1,535,54,melon,tail,535_c54_comp1_img.png,535_c54_comp1_mask.png,144766,0.01459,0.01459
535_c54_comp2,535,54,melon,tail,535_c54_comp2_img.png,535_c54_comp2_mask.png,110726,0.011159,0.011159
535_c54_comp3,535,54,melon,tail,535_c54_comp3_img.png,535_c54_comp3_mask.png,240984,0.024287,0.024287
535_c54_comp4,535,54,melon,tail,535_c54_comp4_img.png,535_c54_comp4_mask.png,177523,0.017891,0.017891
535_c78_comp1,535,78,raspberry,tail,535_c78_comp1_img.png,535_c78_comp1_mask.png,29412,0.002964,0.002964
535_c78_comp2,535,78,raspberry,tail,535_c78_comp2_img.png,535_c78_comp2_mask.png,117027,0.011794,0.011794
535_c78_comp3,535,78,raspberry,tail,535_c78_comp3_img.png,535_c78_comp3_mask.png,224765,0.022652,0.022652
547_c71_comp1,547,71,pizza,tail,547_c71_comp1_img.png,547_c71_comp1_mask.png,48897,0.280888,0.280888
548_c85_comp1,548,85,shellfish,tail,548_c85_comp1_img.png,548_c85_comp1_mask.png,28986,0.442291,0.442291
550_c49_comp1,550,49,kiwi,tail,550_c49_comp1_img.png,550_c49_comp1_mask.png,213605,0.035644,0.035644
550_c49_comp2,550,49,kiwi,tail,550_c49_comp2_img.png,550_c49_comp2_mask.png,215607,0.035978,0.035978
555_c53_comp1,555,53,mango,tail,555_c53_comp1_img.png,555_c53_comp1_mask.png,3503,0.017817,0.017817
555_c53_comp2,555,53,mango,tail,555_c53_comp2_img.png,555_c53_comp2_mask.png,1020,0.005188,0.005188
556_c32_comp1,556,32,eggplant,tail,556_c32_comp1_img.png,556_c32_comp1_mask.png,8085,0.041338,0.041338
556_c39_comp1,556,39,garlic,tail,556_c39_comp1_img.png,556_c39_comp1_mask.png,5237,0.026776,0.026776
562_c65_comp1,562,65,peach,tail,562_c65_comp1_img.png,562_c65_comp1_mask.png,50140,0.255025,0.255025
567_c32_comp1,567,32,eggplant,tail,567_c32_comp1_img.png,567_c32_comp1_mask.png,6436,0.098206,0.098206
569_c14_comp1,569,14,candy,extreme_tail,569_c14_comp1_img.png,569_c14_comp1_mask.png,3448,0.019749,0.019749
575_c81_comp1,575,81,salad,tail,575_c81_comp1_img.png,575_c81_comp1_mask.png,294725,0.079949,0.079949
581_c44_comp1,581,44,hanamaki baozi,tail,581_c44_comp1_img.png,581_c44_comp1_mask.png,31886,0.162181,0.162181
587_c90_comp1,587,90,soy,tail,587_c90_comp1_img.png,587_c90_comp1_mask.png,27950,0.426483,0.426483
590_c7_comp1,590,7,bean sprouts,tail,590_c7_comp1_img.png,590_c7_comp1_mask.png,5071,0.077377,0.077377
602_c55_comp1,602,55,milk,tail,602_c55_comp1_img.png,602_c55_comp1_mask.png,13356,0.203796,0.203796
606_c0_comp1,606,0,almond,tail,606_c0_comp1_img.png,606_c0_comp1_mask.png,941,0.004786,0.004786
606_c0_comp2,606,0,almond,tail,606_c0_comp2_img.png,606_c0_comp2_mask.png,846,0.004303,0.004303
606_c0_comp3,606,0,almond,tail,606_c0_comp3_img.png,606_c0_comp3_mask.png,357,0.001816,0.001816
606_c0_comp4,606,0,almond,tail,606_c0_comp4_img.png,606_c0_comp4_mask.png,568,0.002889,0.002889
606_c0_comp5,606,0,almond,tail,606_c0_comp5_img.png,606_c0_comp5_mask.png,3381,0.017197,0.017197
606_c0_comp6,606,0,almond,tail,606_c0_comp6_img.png,606_c0_comp6_mask.png,4616,0.023478,0.023478
613_c81_comp1,613,81,salad,tail,613_c81_comp1_img.png,613_c81_comp1_mask.png,6215,0.031611,0.031611
614_c53_comp1,614,53,mango,tail,614_c53_comp1_img.png,614_c53_comp1_mask.png,2521,0.012822,0.012822
614_c53_comp2,614,53,mango,tail,614_c53_comp2_img.png,614_c53_comp2_mask.png,11937,0.060715,0.060715
615_c0_comp1,615,0,almond,tail,615_c0_comp1_img.png,615_c0_comp1_mask.png,607,0.004116,0.004116
615_c0_comp2,615,0,almond,tail,615_c0_comp2_img.png,615_c0_comp2_mask.png,386,0.002618,0.002618
615_c29_comp1,615,29,dried cranberries,extreme_tail,615_c29_comp1_img.png,615_c29_comp1_mask.png,255,0.001729,0.001729
615_c29_comp2,615,29,dried cranberries,extreme_tail,615_c29_comp2_img.png,615_c29_comp2_mask.png,156,0.001058,0.001058
615_c29_comp3,615,29,dried cranberries,extreme_tail,615_c29_comp3_img.png,615_c29_comp3_mask.png,405,0.002747,0.002747
615_c29_comp4,615,29,dried cranberries,extreme_tail,615_c29_comp4_img.png,615_c29_comp4_mask.png,663,0.004496,0.004496
615_c29_comp5,615,29,dried cranberries,extreme_tail,615_c29_comp5_img.png,615_c29_comp5_mask.png,210,0.001424,0.001424
615_c29_comp6,615,29,dried cranberries,extreme_tail,615_c29_comp6_img.png,615_c29_comp6_mask.png,714,0.004842,0.004842
615_c29_comp7,615,29,dried cranberries,extreme_tail,615_c29_comp7_img.png,615_c29_comp7_mask.png,388,0.002631,0.002631
624_c22_comp1,624,22,chocolate,tail,624_c22_comp1_img.png,624_c22_comp1_mask.png,89,0.001358,0.001358
624_c22_comp2,624,22,chocolate,tail,624_c22_comp2_img.png,624_c22_comp2_mask.png,358,0.005463,0.005463
624_c22_comp3,624,22,chocolate,tail,624_c22_comp3_img.png,624_c22_comp3_mask.png,418,0.006378,0.006378
624_c22_comp4,624,22,chocolate,tail,624_c22_comp4_img.png,624_c22_comp4_mask.png,598,0.009125,0.009125
624_c22_comp5,624,22,chocolate,tail,624_c22_comp5_img.png,624_c22_comp5_mask.png,517,0.007889,0.007889
624_c22_comp6,624,22,chocolate,tail,624_c22_comp6_img.png,624_c22_comp6_mask.png,670,0.010223,0.010223
624_c22_comp7,624,22,chocolate,tail,624_c22_comp7_img.png,624_c22_comp7_mask.png,888,0.01355,0.01355
628_c58_comp1,628,58,okra,extreme_tail,628_c58_comp1_img.png,628_c58_comp1_mask.png,263,0.004013,0.004013
628_c58_comp2,628,58,okra,extreme_tail,628_c58_comp2_img.png,628_c58_comp2_mask.png,515,0.007858,0.007858
628_c58_comp3,628,58,okra,extreme_tail,628_c58_comp3_img.png,628_c58_comp3_mask.png,211,0.00322,0.00322
636_c59_comp1,636,59,olives,tail,636_c59_comp1_img.png,636_c59_comp1_mask.png,781,0.003972,0.003972
642_c97_comp1,642,97,walnut,tail,642_c97_comp1_img.png,642_c97_comp1_mask.png,7157,0.064177,0.064177
642_c97_comp2,642,97,walnut,tail,642_c97_comp2_img.png,642_c97_comp2_mask.png,4981,0.044665,0.044665
646_c85_comp1,646,85,shellfish,tail,646_c85_comp1_img.png,646_c85_comp1_mask.png,5004,0.031275,0.031275
646_c85_comp2,646,85,shellfish,tail,646_c85_comp2_img.png,646_c85_comp2_mask.png,7844,0.049025,0.049025
646_c85_comp3,646,85,shellfish,tail,646_c85_comp3_img.png,646_c85_comp3_mask.png,7875,0.049219,0.049219
646_c85_comp4,646,85,shellfish,tail,646_c85_comp4_img.png,646_c85_comp4_mask.png,5326,0.033287,0.033287
646_c85_comp5,646,85,shellfish,tail,646_c85_comp5_img.png,646_c85_comp5_mask.png,7094,0.044338,0.044338
646_c85_comp6,646,85,shellfish,tail,646_c85_comp6_img.png,646_c85_comp6_mask.png,8318,0.051987,0.051987
646_c85_comp7,646,85,shellfish,tail,646_c85_comp7_img.png,646_c85_comp7_mask.png,3150,0.019688,0.019688
646_c85_comp8,646,85,shellfish,tail,646_c85_comp8_img.png,646_c85_comp8_mask.png,2929,0.018306,0.018306
647_c102_comp1,647,102,wonton dumplings,extreme_tail,647_c102_comp1_img.png,647_c102_comp1_mask.png,1172250,0.14671,0.14671
651_c22_comp1,651,22,chocolate,tail,651_c22_comp1_img.png,651_c22_comp1_mask.png,32454,0.126773,0.126773
652_c49_comp1,652,49,kiwi,tail,652_c49_comp1_img.png,652_c49_comp1_mask.png,7174,0.036489,0.036489
653_c88_comp1,653,88,snow peas,tail,653_c88_comp1_img.png,653_c88_comp1_mask.png,2380,0.036316,0.036316
654_c88_comp1,654,88,snow peas,tail,654_c88_comp1_img.png,654_c88_comp1_mask.png,10504,0.053426,0.053426
667_c4_comp1,667,4,avocado,tail,667_c4_comp1_img.png,667_c4_comp1_mask.png,24803,0.006166,0.006166
667_c4_comp2,667,4,avocado,tail,667_c4_comp2_img.png,667_c4_comp2_mask.png,109893,0.027318,0.027318
667_c4_comp3,667,4,avocado,tail,667_c4_comp3_img.png,667_c4_comp3_mask.png,148774,0.036983,0.036983
672_c78_comp1,672,78,raspberry,tail,672_c78_comp1_img.png,672_c78_comp1_mask.png,10835,0.165329,0.165329
676_c100_comp1,676,100,white radish,tail,676_c100_comp1_img.png,676_c100_comp1_mask.png,2547,0.024387,0.024387
681_c39_comp1,681,39,garlic,tail,681_c39_comp1_img.png,681_c39_comp1_mask.png,921,0.005275,0.005275
685_c98_comp1,685,98,watermelon,extreme_tail,685_c98_comp1_img.png,685_c98_comp1_mask.png,993249,0.075653,0.075653
686_c71_comp1,686,71,pizza,tail,686_c71_comp1_img.png,686_c71_comp1_mask.png,36495,0.185623,0.185623
688_c59_comp1,688,59,olives,tail,688_c59_comp1_img.png,688_c59_comp1_mask.png,1087,0.005529,0.005529
688_c59_comp2,688,59,olives,tail,688_c59_comp2_img.png,688_c59_comp2_mask.png,2201,0.011195,0.011195
691_c59_comp1,691,59,olives,tail,691_c59_comp1_img.png,691_c59_comp1_mask.png,5863,0.029821,0.029821
702_c55_comp1,702,55,milk,tail,702_c55_comp1_img.png,702_c55_comp1_mask.png,8628,0.043884,0.043884
704_c53_comp1,704,53,mango,tail,704_c53_comp1_img.png,704_c53_comp1_mask.png,34251,0.17421,0.17421
704_c70_comp1,704,70,pineapple,tail,704_c70_comp1_img.png,704_c70_comp1_mask.png,28574,0.145335,0.145335
704_c70_comp2,704,70,pineapple,tail,704_c70_comp2_img.png,704_c70_comp2_mask.png,304,0.001546,0.001546
722_c55_comp1,722,55,milk,tail,722_c55_comp1_img.png,722_c55_comp1_mask.png,406955,0.055556,0.055556
722_c97_comp1,722,97,walnut,tail,722_c97_comp1_img.png,722_c97_comp1_mask.png,28356,0.003871,0.003871
726_c94_comp1,726,94,tea,tail,726_c94_comp1_img.png,726_c94_comp1_mask.png,4469,0.003037,0.003037
726_c94_comp2,726,94,tea,tail,726_c94_comp2_img.png,726_c94_comp2_mask.png,1796,0.001221,0.001221
729_c94_comp1,729,94,tea,tail,729_c94_comp1_img.png,729_c94_comp1_mask.png,4642,0.023672,0.023672
737_c4_comp1,737,4,avocado,tail,737_c4_comp1_img.png,737_c4_comp1_mask.png,36596,0.053241,0.053241
737_c4_comp2,737,4,avocado,tail,737_c4_comp2_img.png,737_c4_comp2_mask.png,22940,0.033374,0.033374
