stem,split,image_path,mask_path,height,width,fg_ratio,num_present_classes,num_connected_components,present_classes,present_class_names,present_class_groups,has_tail,has_extreme_tail,rare_score,hard_score_gt,difficulty_level,stage1_weight,stage2_weight,aug_policy
00000010,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000010.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000010.png,341,512,0.7468,3,1,"[8, 19, 103]","['biscuit', 'cheese butter', 'background']","['medium', 'medium', 'background']",False,False,0.1507,1.4064,easy,2.6507,1.7014,none
00000011,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000011.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000011.png,1358,1664,0.6404,3,1,"[37, 45, 103]","['french fries', 'ice cream', 'background']","['medium', 'head', 'background']",False,False,0.1275,1.6192000000000002,easy,2.6275,1.6549999999999998,none
00000012,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000012.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000012.png,2448,3264,0.5672,3,1,"[45, 96, 103]","['ice cream', 'tomato', 'background']","['head', 'head', 'background']",False,False,0.0824,1.7655999999999998,easy,2.5824,1.5648,none
00000013,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000013.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000013.png,256,256,0.7679,6,1,"[10, 52, 82, 92, 96, 103]","['bread', 'lettuce', 'sauce', 'steak', 'tomato', 'background']","['head', 'medium', 'head', 'head', 'head', 'background']",False,False,0.2033,2.1142,easy,2.7033,1.8066,none
00000014,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000014.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000014.png,2706,2114,0.4017,4,1,"[15, 39, 92, 103]","['carrot', 'garlic', 'steak', 'background']","['head', 'tail', 'head', 'background']",True,False,0.2197,3.1466000000000003,hard,1.6197,3.4394,rare_crop
00000015,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000015.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000015.png,473,512,0.3193,5,1,"[11, 15, 35, 36, 103]","['broccoli', 'carrot', 'fish', 'french beans', 'background']","['head', 'head', 'medium', 'medium', 'background']",False,False,0.2121,2.7614,medium,2.2121,2.4242,light
00000016,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000016.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000016.png,683,1024,0.6146,4,2,"[35, 51, 60, 103]","['fish', 'lemon', 'onion', 'background']","['medium', 'medium', 'medium', 'background']",False,False,0.179,2.0708,easy,2.6790000000000003,1.758,none
00000017,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000017.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000017.png,256,256,0.3657,4,1,"[37, 69, 92, 103]","['french fries', 'pie', 'steak', 'background']","['medium', 'medium', 'head', 'background']",False,False,0.1776,2.4185999999999996,medium,2.1776,2.3552,light
00000018,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000018.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000018.png,386,512,0.5933,5,1,"[10, 85, 91, 96, 103]","['bread', 'shellfish', 'spring onion', 'tomato', 'background']","['head', 'tail', 'medium', 'head', 'background']",True,False,0.4762,3.0134,hard,1.8761999999999999,3.9524,rare_crop
00000019,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000019.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000019.png,1054,1600,0.3413,7,7,"[21, 46, 51, 62, 68, 82, 103]","['chicken duck', 'juice', 'lemon', 'other ingredients', 'pepper', 'sauce', 'background']","['head', 'medium', 'medium', 'medium', 'medium', 'head', 'background']",False,False,0.3849,4.1174,hard,1.7849,3.7698,hard_crop
00000020,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000020.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000020.png,218,410,0.631,8,1,"[11, 15, 17, 27, 45, 68, 76, 103]","['broccoli', 'carrot', 'cauliflower', 'cucumber', 'ice cream', 'pepper', 'pumpkin', 'background']","['head', 'head', 'medium', 'medium', 'head', 'medium', 'tail', 'background']",True,False,0.5021,3.6879999999999997,hard,1.9021,4.0042,rare_crop
00000021,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000021.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000021.png,356,534,0.433,3,1,"[21, 51, 103]","['chicken duck', 'lemon', 'background']","['head', 'medium', 'background']",False,False,0.091,2.034,easy,2.591,1.5819999999999999,none
00000022,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000022.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000022.png,512,384,0.4774,5,1,"[1, 6, 46, 61, 103]","['apple', 'banana', 'juice', 'orange', 'background']","['medium', 'medium', 'medium', 'medium', 'background']",False,False,0.4079,2.4452,medium,2.4078999999999997,2.8158,light
00000023,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000023.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000023.png,384,512,0.8332,4,1,"[15, 18, 45, 103]","['carrot', 'celery stick', 'ice cream', 'background']","['head', 'medium', 'head', 'background']",False,False,0.1638,1.4836,easy,2.6638,1.7275999999999998,none
00000024,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000024.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000024.png,384,512,0.5558,5,1,"[25, 69, 92, 99, 103]","['corn', 'pie', 'steak', 'white button mushroom', 'background']","['medium', 'medium', 'head', 'medium', 'background']",False,False,0.2615,2.2884,medium,2.2615,2.523,light
00000025,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000025.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000025.png,384,512,0.4868,4,3,"[3, 25, 73, 103]","['asparagus', 'corn', 'pork', 'background']","['medium', 'medium', 'medium', 'background']",False,False,0.1875,2.4764,medium,2.1875,2.375,light
00000026,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000026.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000026.png,750,1000,0.3348,3,1,"[36, 92, 103]","['french beans', 'steak', 'background']","['medium', 'head', 'background']",False,False,0.1082,2.2304,easy,2.6082,1.6164,none
00000027,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000027.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000027.png,1840,2912,0.5211,4,1,"[21, 36, 80, 103]","['chicken duck', 'french beans', 'rice', 'background']","['head', 'medium', 'medium', 'background']",False,False,0.1557,2.1078,easy,2.6557,1.7113999999999998,none
00000028,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000028.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000028.png,384,512,0.7463,6,1,"[3, 11, 15, 21, 74, 103]","['asparagus', 'broccoli', 'carrot', 'chicken duck', 'potato', 'background']","['medium', 'head', 'head', 'head', 'head', 'background']",False,False,0.2311,2.1574,easy,2.7311,1.8622,none
00000029,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000029.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000029.png,2560,1920,0.4186,6,1,"[10, 11, 15, 74, 92, 103]","['bread', 'broccoli', 'carrot', 'potato', 'steak', 'background']","['head', 'head', 'head', 'head', 'head', 'background']",False,False,0.1878,2.8127999999999997,medium,2.1878,2.3756,light
00000030,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000030.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000030.png,384,512,0.5358,5,1,"[9, 23, 60, 61, 103]","['blueberry', 'cilantro mint', 'onion', 'orange', 'background']","['medium', 'head', 'medium', 'medium', 'background']",False,False,0.2711,2.3284,medium,2.2711,2.5422000000000002,light
00000031,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000031.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000031.png,413,550,0.576,5,1,"[10, 52, 91, 96, 103]","['bread', 'lettuce', 'spring onion', 'tomato', 'background']","['head', 'medium', 'medium', 'head', 'background']",False,False,0.2288,2.248,easy,2.7288,1.8576000000000001,none
00000032,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000032.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000032.png,384,512,0.4361,4,2,"[17, 73, 82, 103]","['cauliflower', 'pork', 'sauce', 'background']","['medium', 'medium', 'head', 'background']",False,False,0.1713,2.4278000000000004,medium,2.1713,2.3426,light
00000033,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000033.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000033.png,250,512,0.2236,5,3,"[77, 82, 91, 92, 103]","['rape', 'sauce', 'spring onion', 'steak', 'background']","['tail', 'head', 'medium', 'head', 'background']",True,False,0.326,4.0527999999999995,hard,1.726,3.652,rare_crop
00000034,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000034.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000034.png,256,256,0.4192,5,1,"[11, 21, 57, 96, 103]","['broccoli', 'chicken duck', 'noodles', 'tomato', 'background']","['head', 'head', 'medium', 'head', 'background']",False,False,0.1995,2.5616,medium,2.1995,2.399,light
00000035,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000035.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000035.png,405,720,0.1476,6,1,"[15, 21, 23, 36, 74, 103]","['carrot', 'chicken duck', 'cilantro mint', 'french beans', 'potato', 'background']","['head', 'head', 'head', 'medium', 'head', 'background']",False,False,0.2244,3.3548,hard,1.6244,3.4488,hard_crop
00000036,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000036.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000036.png,384,512,0.6089,3,3,"[8, 89, 103]","['biscuit', 'soup', 'background']","['medium', 'medium', 'background']",False,False,0.2147,1.9822,easy,2.7147,1.8294000000000001,none
00000037,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000037.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000037.png,428,642,0.4383,3,1,"[21, 82, 103]","['chicken duck', 'sauce', 'background']","['head', 'head', 'background']",False,False,0.0743,2.0233999999999996,easy,2.5743,1.5486,none
00000038,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000038.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000038.png,1427,1000,0.6372,5,1,"[23, 51, 55, 93, 103]","['cilantro mint', 'lemon', 'milk', 'strawberry', 'background']","['head', 'medium', 'tail', 'medium', 'background']",True,False,0.3527,2.9256,hard,1.7527,3.7054,rare_crop
00000039,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000039.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000039.png,384,512,0.5257,4,1,"[10, 23, 96, 103]","['bread', 'cilantro mint', 'tomato', 'background']","['head', 'head', 'head', 'background']",False,False,0.1172,2.0986000000000002,easy,2.6172,1.6343999999999999,none
00000040,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000040.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000040.png,382,512,0.3948,4,1,"[11, 15, 21, 103]","['broccoli', 'carrot', 'chicken duck', 'background']","['head', 'head', 'head', 'background']",False,False,0.1131,2.3604,medium,2.1131,2.2262,light
00000041,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000041.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000041.png,307,410,0.2912,4,2,"[3, 35, 51, 103]","['asparagus', 'fish', 'lemon', 'background']","['medium', 'medium', 'medium', 'background']",False,False,0.2012,2.7176,medium,2.2012,2.4024,light
00000042,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000042.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000042.png,256,256,0.7336,4,3,"[23, 38, 82, 103]","['cilantro mint', 'fried meat', 'sauce', 'background']","['head', 'medium', 'head', 'background']",False,False,0.1669,1.9828,easy,2.6669,1.7338,none
00000043,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000043.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000043.png,518,410,0.5383,3,1,"[45, 61, 103]","['ice cream', 'orange', 'background']","['head', 'medium', 'background']",False,False,0.1256,1.8234,easy,2.6256,1.6511999999999998,none
00000044,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000044.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000044.png,750,1000,0.3754,8,2,"[23, 35, 49, 51, 52, 61, 96, 103]","['cilantro mint', 'fish', 'kiwi', 'lemon', 'lettuce', 'orange', 'tomato', 'background']","['head', 'medium', 'tail', 'medium', 'medium', 'medium', 'head', 'background']",True,False,0.5162,4.3492,hard,1.9162,4.0324,rare_crop
00000045,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000045.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000045.png,384,512,0.2143,6,2,"[10, 21, 25, 60, 96, 103]","['bread', 'chicken duck', 'corn', 'onion', 'tomato', 'background']","['head', 'head', 'medium', 'medium', 'head', 'background']",False,False,0.2244,3.3714000000000004,hard,1.6244,3.4488,hard_crop
00000046,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000046.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000046.png,384,512,0.6694,6,2,"[36, 57, 73, 87, 96, 103]","['french beans', 'noodles', 'pork', 'shrimp', 'tomato', 'background']","['medium', 'medium', 'medium', 'medium', 'head', 'background']",False,False,0.3613,2.4612,medium,2.3613,2.7226,light
00000047,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000047.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000047.png,384,512,0.3199,5,1,"[15, 23, 74, 92, 103]","['carrot', 'cilantro mint', 'potato', 'steak', 'background']","['head', 'head', 'head', 'head', 'background']",False,False,0.1579,2.7601999999999998,medium,2.1578999999999997,2.3158000000000003,light
00000049,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000049.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000049.png,429,512,0.4802,6,1,"[11, 15, 17, 27, 36, 103]","['broccoli', 'carrot', 'cauliflower', 'cucumber', 'french beans', 'background']","['head', 'head', 'medium', 'medium', 'medium', 'background']",False,False,0.2838,2.6896,medium,2.2838000000000003,2.5676,light
00000050,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000050.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000050.png,369,512,0.9014,4,1,"[15, 69, 73, 103]","['carrot', 'pie', 'pork', 'background']","['head', 'medium', 'medium', 'background']",False,False,0.1414,1.3472,easy,2.6414,1.6827999999999999,none
00000051,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000051.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000051.png,750,1000,0.6535,5,2,"[23, 69, 82, 96, 103]","['cilantro mint', 'pie', 'sauce', 'tomato', 'background']","['head', 'medium', 'head', 'head', 'background']",False,False,0.1748,2.2430000000000003,easy,2.6748000000000003,1.7496,none
