sample_id,image_path,mask_path,source_type,base_stem,sampling_weight
157,00000157.jpg,00000157.png,original,157,2.6710000000000003
158,00000158.jpg,00000158.png,original,158,1.9734
159,00000159.jpg,00000159.png,original,159,3.4626
160,00000160.jpg,00000160.png,original,160,3.6848
161,00000161.jpg,00000161.png,original,161,2.583
162,00000162.jpg,00000162.png,original,162,1.787
163,00000163.jpg,00000163.png,original,163,2.6692
164,00000164.jpg,00000164.png,original,164,4.0524
165,00000165.jpg,00000165.png,original,165,3.7456
166,00000166.jpg,00000166.png,original,166,2.5144
167,00000167.jpg,00000167.png,original,167,1.8892
168,00000168.jpg,00000168.png,original,168,3.6572
169,00000169.jpg,00000169.png,original,169,2.3164
170,00000170.jpg,00000170.png,original,170,2.4596
171,00000171.jpg,00000171.png,original,171,3.8688
172,00000172.jpg,00000172.png,original,172,2.3338
173,00000173.jpg,00000173.png,original,173,1.9134
174,00000174.jpg,00000174.png,original,174,3.9982
175,00000175.jpg,00000175.png,original,175,3.5476
176,00000176.jpg,00000176.png,original,176,3.5586
177,00000177.jpg,00000177.png,original,177,2.2976
178,00000178.jpg,00000178.png,original,178,3.4078
179,00000179.jpg,00000179.png,original,179,1.8902
180,00000180.jpg,00000180.png,original,180,2.3066
181,00000181.jpg,00000181.png,original,181,2.33
182,00000182.jpg,00000182.png,original,182,1.6924
183,00000183.jpg,00000183.png,original,183,1.6534
184,00000184.jpg,00000184.png,original,184,3.6336
185,00000185.jpg,00000185.png,original,185,1.5956
186,00000186.jpg,00000186.png,original,186,2.2322
187,00000187.jpg,00000187.png,original,187,2.6966
188,00000188.jpg,00000188.png,original,188,1.7280000000000002
189,00000189.jpg,00000189.png,original,189,1.5486
190,00000190.jpg,00000190.png,original,190,2.6024000000000003
191,00000191.jpg,00000191.png,original,191,3.635
192,00000192.jpg,00000192.png,original,192,2.497
193,00000193.jpg,00000193.png,original,193,2.5474
194,00000194.jpg,00000194.png,original,194,3.7392
195,00000195.jpg,00000195.png,original,195,2.339
196,00000196.jpg,00000196.png,original,196,2.1486
197,00000197.jpg,00000197.png,original,197,1.661
198,00000198.jpg,00000198.png,original,198,1.6345999999999998
199,00000199.jpg,00000199.png,original,199,2.502
200,00000200.jpg,00000200.png,original,200,2.3280000000000003
201,00000201.jpg,00000201.png,original,201,4.0316
202,00000202.jpg,00000202.png,original,202,3.5562
203,00000203.jpg,00000203.png,original,203,1.5541999999999998
204,00000204.jpg,00000204.png,original,204,1.7662
205,00000205.jpg,00000205.png,original,205,3.606
206,00000206.jpg,00000206.png,original,206,1.8214
207,00000207.jpg,00000207.png,original,207,1.6307999999999998
208,00000208.jpg,00000208.png,original,208,1.6265999999999998
209,00000209.jpg,00000209.png,original,209,1.6908
210,00000210.jpg,00000210.png,original,210,1.5968
211,00000211.jpg,00000211.png,original,211,2.317
212,00000212.jpg,00000212.png,original,212,3.6298
213,00000213.jpg,00000213.png,original,213,1.6345999999999998
214,00000214.jpg,00000214.png,original,214,1.7228
215,00000215.jpg,00000215.png,original,215,1.6631999999999998
216,00000216.jpg,00000216.png,original,216,2.4926
217,00000217.jpg,00000217.png,original,217,2.4256
218,00000218.jpg,00000218.png,original,218,1.6726
219,00000219.jpg,00000219.png,original,219,1.6638000000000002
220,00000220.jpg,00000220.png,original,220,3.9318
221,00000221.jpg,00000221.png,original,221,2.9076
222,00000222.jpg,00000222.png,original,222,1.7675999999999998
223,00000223.jpg,00000223.png,original,223,1.8074
224,00000224.jpg,00000224.png,original,224,1.7888000000000002
225,00000225.jpg,00000225.png,original,225,2.448
226,00000226.jpg,00000226.png,original,226,3.4398
227,00000227.jpg,00000227.png,original,227,2.3158000000000003
228,00000228.jpg,00000228.png,original,228,3.5652
229,00000229.jpg,00000229.png,original,229,1.6464
230,00000230.jpg,00000230.png,original,230,2.4702
231,00000231.jpg,00000231.png,original,231,1.7164
232,00000232.jpg,00000232.png,original,232,1.6328
233,00000233.jpg,00000233.png,original,233,1.6614
234,00000234.jpg,00000234.png,original,234,2.2376
235,00000235.jpg,00000235.png,original,235,1.6604
236,00000236.jpg,00000236.png,original,236,3.385
237,00000237.jpg,00000237.png,original,237,1.7712
238,00000238.jpg,00000238.png,original,238,1.7338
239,00000239.jpg,00000239.png,original,239,1.7378
240,00000240.jpg,00000240.png,original,240,2.4406
241,00000241.jpg,00000241.png,original,241,2.4192
242,00000242.jpg,00000242.png,original,242,3.558
243,00000243.jpg,00000243.png,original,243,2.3242000000000003
244,00000244.jpg,00000244.png,original,244,2.7932
245,00000245.jpg,00000245.png,original,245,2.3486
246,00000246.jpg,00000246.png,original,246,1.8738
247,00000247.jpg,00000247.png,original,247,3.7466
248,00000248.jpg,00000248.png,original,248,3.3424
249,00000249.jpg,00000249.png,original,249,1.6898
250,00000250.jpg,00000250.png,original,250,2.6924
251,00000251.jpg,00000251.png,original,251,2.3248
252,00000252.jpg,00000252.png,original,252,3.8546
253,00000253.jpg,00000253.png,original,253,2.613
254,00000254.jpg,00000254.png,original,254,1.9812
255,00000255.jpg,00000255.png,original,255,1.682
256,00000256.jpg,00000256.png,original,256,2.393
257,00000257.jpg,00000257.png,original,257,2.4304
258,00000258.jpg,00000258.png,original,258,3.8556
259,00000259.jpg,00000259.png,original,259,3.953
260,00000260.jpg,00000260.png,original,260,1.9274
261,00000261.jpg,00000261.png,original,261,1.6846
262,00000262.jpg,00000262.png,original,262,3.867
264,00000264.jpg,00000264.png,original,264,1.7035999999999998
265,00000265.jpg,00000265.png,original,265,1.657
266,00000266.jpg,00000266.png,original,266,1.9062
267,00000267.jpg,00000267.png,original,267,5.4392
268,00000268.jpg,00000268.png,original,268,4.0302
269,00000269.jpg,00000269.png,original,269,1.8238
270,00000270.jpg,00000270.png,original,270,1.6814
271,00000271.jpg,00000271.png,original,271,1.6806
272,00000272.jpg,00000272.png,original,272,3.6074
273,00000273.jpg,00000273.png,original,273,2.3832
274,00000274.jpg,00000274.png,original,274,1.6871999999999998
275,00000275.jpg,00000275.png,original,275,1.7637999999999998
276,00000276.jpg,00000276.png,original,276,3.629
277,00000277.jpg,00000277.png,original,277,1.6368
278,00000278.jpg,00000278.png,original,278,1.553
279,00000279.jpg,00000279.png,original,279,2.4886
280,00000280.jpg,00000280.png,original,280,3.8364
281,00000281.jpg,00000281.png,original,281,2.3252
282,00000282.jpg,00000282.png,original,282,2.4562
283,00000283.jpg,00000283.png,original,283,3.3888
284,00000284.jpg,00000284.png,original,284,2.4304
285,00000285.jpg,00000285.png,original,285,3.6326
286,00000286.jpg,00000286.png,original,286,1.8268
287,00000287.jpg,00000287.png,original,287,1.841
288,00000288.jpg,00000288.png,original,288,3.3642000000000003
289,00000289.jpg,00000289.png,original,289,2.493
290,00000290.jpg,00000290.png,original,290,2.5048
291,00000291.jpg,00000291.png,original,291,2.3882
292,00000292.jpg,00000292.png,original,292,2.2328
293,00000293.jpg,00000293.png,original,293,4.0014
294,00000294.jpg,00000294.png,original,294,3.4266
295,00000295.jpg,00000295.png,original,295,2.5042
296,00000296.jpg,00000296.png,original,296,5.5492
297,00000297.jpg,00000297.png,original,297,3.6922
298,00000298.jpg,00000298.png,original,298,3.5932
299,00000299.jpg,00000299.png,original,299,3.7676
300,00000300.jpg,00000300.png,original,300,1.7656
301,00000301.jpg,00000301.png,original,301,2.5666
302,00000302.jpg,00000302.png,original,302,3.797
303,00000303.jpg,00000303.png,original,303,1.7113999999999998
304,00000304.jpg,00000304.png,original,304,2.499
305,00000305.jpg,00000305.png,original,305,2.28
306,00000306.jpg,00000306.png,original,306,1.6989999999999998
307,00000307.jpg,00000307.png,original,307,2.699
308,00000308.jpg,00000308.png,original,308,3.5458
309,00000309.jpg,00000309.png,original,309,1.7824
310,00000310.jpg,00000310.png,original,310,2.3120000000000003
311,00000311.jpg,00000311.png,original,311,3.406
312,00000312.jpg,00000312.png,original,312,4.021
313,00000313.jpg,00000313.png,original,313,1.6345999999999998
314,00000314.jpg,00000314.png,original,314,1.902
315,00000315.jpg,00000315.png,original,315,3.6762
316,00000316.jpg,00000316.png,original,316,2.4912
317,00000317.jpg,00000317.png,original,317,2.6394
318,00000318.jpg,00000318.png,original,318,3.687
319,00000319.jpg,00000319.png,original,319,2.685
320,00000320.jpg,00000320.png,original,320,1.902
321,00000321.jpg,00000321.png,original,321,1.8016
322,00000322.jpg,00000322.png,original,322,2.61
323,00000323.jpg,00000323.png,original,323,2.5954
324,00000324.jpg,00000324.png,original,324,2.7322
325,00000325.jpg,00000325.png,original,325,2.43
326,00000326.jpg,00000326.png,original,326,2.3654
327,00000327.jpg,00000327.png,original,327,3.858
328,00000328.jpg,00000328.png,original,328,2.4530000000000003
329,00000329.jpg,00000329.png,original,329,1.9654
330,00000330.jpg,00000330.png,original,330,2.2424
331,00000331.jpg,00000331.png,original,331,2.3272
332,00000332.jpg,00000332.png,original,332,3.3088
333,00000333.jpg,00000333.png,original,333,3.862
334,00000334.jpg,00000334.png,original,334,2.8834
335,00000335.jpg,00000335.png,original,335,3.449
336,00000336.jpg,00000336.png,original,336,1.7938
337,00000337.jpg,00000337.png,original,337,1.714
338,00000338.jpg,00000338.png,original,338,1.7191999999999998
339,00000339.jpg,00000339.png,original,339,1.6230000000000002
340,00000340.jpg,00000340.png,original,340,1.786
341,00000341.jpg,00000341.png,original,341,2.555
342,00000342.jpg,00000342.png,original,342,2.4972
343,00000343.jpg,00000343.png,original,343,2.4132
344,00000344.jpg,00000344.png,original,344,2.5974
345,00000345.jpg,00000345.png,original,345,3.4586
346,00000346.jpg,00000346.png,original,346,3.5062
347,00000347.jpg,00000347.png,original,347,3.6962
348,00000348.jpg,00000348.png,original,348,2.3716
349,00000349.jpg,00000349.png,original,349,2.392
350,00000350.jpg,00000350.png,original,350,2.2698
351,00000351.jpg,00000351.png,original,351,2.3822
352,00000352.jpg,00000352.png,original,352,1.7395999999999998
353,00000353.jpg,00000353.png,original,353,3.8542
354,00000354.jpg,00000354.png,original,354,3.4824
355,00000355.jpg,00000355.png,original,355,2.9212
356,00000356.jpg,00000356.png,original,356,7.239599999999999
357,00000357.jpg,00000357.png,original,357,1.6582
358,00000358.jpg,00000358.png,original,358,3.5802
359,00000359.jpg,00000359.png,original,359,2.5986
360,00000360.jpg,00000360.png,original,360,2.6068
361,00000361.jpg,00000361.png,original,361,2.5112
362,00000362.jpg,00000362.png,original,362,1.714
363,00000363.jpg,00000363.png,original,363,2.4416
364,00000364.jpg,00000364.png,original,364,2.0458
365,00000365.jpg,00000365.png,original,365,6.0766
366,00000366.jpg,00000366.png,original,366,1.7782
367,00000367.jpg,00000367.png,original,367,1.7312
368,00000368.jpg,00000368.png,original,368,3.6172
369,00000369.jpg,00000369.png,original,369,1.6732
370,00000370.jpg,00000370.png,original,370,1.7728000000000002
371,00000371.jpg,00000371.png,original,371,1.857
372,00000372.jpg,00000372.png,original,372,1.6968
373,00000373.jpg,00000373.png,original,373,1.5604
374,00000374.jpg,00000374.png,original,374,2.5522
375,00000375.jpg,00000375.png,original,375,1.8618
376,00000376.jpg,00000376.png,original,376,1.6387999999999998
377,00000377.jpg,00000377.png,original,377,2.4546
378,00000378.jpg,00000378.png,original,378,1.8712
379,00000379.jpg,00000379.png,original,379,2.6082
380,00000380.jpg,00000380.png,original,380,1.777
381,00000381.jpg,00000381.png,original,381,1.6808
382,00000382.jpg,00000382.png,original,382,2.245
383,00000383.jpg,00000383.png,original,383,1.6328
384,00000384.jpg,00000384.png,original,384,5.657
385,00000385.jpg,00000385.png,original,385,3.2802
386,00000386.jpg,00000386.png,original,386,3.7154
387,00000387.jpg,00000387.png,original,387,1.8436
388,00000388.jpg,00000388.png,original,388,1.649
389,00000389.jpg,00000389.png,original,389,1.7322000000000002
390,00000390.jpg,00000390.png,original,390,1.8086
391,00000391.jpg,00000391.png,original,391,2.4226
392,00000392.jpg,00000392.png,original,392,2.438
393,00000393.jpg,00000393.png,original,393,1.5736
394,00000394.jpg,00000394.png,original,394,1.8356
395,00000395.jpg,00000395.png,original,395,1.9174
396,00000396.jpg,00000396.png,original,396,2.5102
397,00000397.jpg,00000397.png,original,397,1.6873999999999998
398,00000398.jpg,00000398.png,original,398,1.6222
399,00000399.jpg,00000399.png,original,399,3.5414
400,00000400.jpg,00000400.png,original,400,1.8434
401,00000401.jpg,00000401.png,original,401,3.3072
402,00000402.jpg,00000402.png,original,402,2.5372
403,00000403.jpg,00000403.png,original,403,1.641
404,00000404.jpg,00000404.png,original,404,1.5968
405,00000405.jpg,00000405.png,original,405,2.5214
406,00000406.jpg,00000406.png,original,406,1.5981999999999998
407,00000407.jpg,00000407.png,original,407,2.4226
408,00000408.jpg,00000408.png,original,408,2.6744
409,00000409.jpg,00000409.png,original,409,2.5168
410,00000410.jpg,00000410.png,original,410,1.7668
411,00000411.jpg,00000411.png,original,411,1.7519999999999998
412,00000412.jpg,00000412.png,original,412,1.6666
413,00000413.jpg,00000413.png,original,413,1.8254
414,00000414.jpg,00000414.png,original,414,5.8576
415,00000415.jpg,00000415.png,original,415,2.5744
416,00000416.jpg,00000416.png,original,416,1.9406
417,00000417.jpg,00000417.png,original,417,2.4894
418,00000418.jpg,00000418.png,original,418,2.3804
419,00000419.jpg,00000419.png,original,419,1.6442
420,00000420.jpg,00000420.png,original,420,1.719
421,00000421.jpg,00000421.png,original,421,2.2732
422,00000422.jpg,00000422.png,original,422,1.649
423,00000423.jpg,00000423.png,original,423,4.042
424,00000424.jpg,00000424.png,original,424,1.7296
425,00000425.jpg,00000425.png,original,425,3.7344
426,00000426.jpg,00000426.png,original,426,3.6856
427,00000427.jpg,00000427.png,original,427,1.7096
428,00000428.jpg,00000428.png,original,428,3.7388
429,00000429.jpg,00000429.png,original,429,3.4376
430,00000430.jpg,00000430.png,original,430,1.799
431,00000431.jpg,00000431.png,original,431,1.5432
432,00000432.jpg,00000432.png,original,432,1.7313999999999998
433,00000433.jpg,00000433.png,original,433,1.6873999999999998
434,00000434.jpg,00000434.png,original,434,1.8244
435,00000435.jpg,00000435.png,original,435,2.4388
436,00000436.jpg,00000436.png,original,436,1.777
437,00000437.jpg,00000437.png,original,437,2.0002
438,00000438.jpg,00000438.png,original,438,1.995
439,00000439.jpg,00000439.png,original,439,1.9438
440,00000440.jpg,00000440.png,original,440,1.6629999999999998
441,00000441.jpg,00000441.png,original,441,1.645
442,00000442.jpg,00000442.png,original,442,2.2058
443,00000443.jpg,00000443.png,original,443,1.7728000000000002
444,00000444.jpg,00000444.png,original,444,1.7218
445,00000445.jpg,00000445.png,original,445,1.7919999999999998
446,00000446.jpg,00000446.png,original,446,1.573
447,00000447.jpg,00000447.png,original,447,2.393
448,00000448.jpg,00000448.png,original,448,1.6418
449,00000449.jpg,00000449.png,original,449,2.2552
450,00000450.jpg,00000450.png,original,450,1.98
451,00000451.jpg,00000451.png,original,451,2.5108
452,00000452.jpg,00000452.png,original,452,3.7238
453,00000453.jpg,00000453.png,original,453,1.5644
454,00000454.jpg,00000454.png,original,454,1.7280000000000002
455,00000455.jpg,00000455.png,original,455,1.6694
456,00000456.jpg,00000456.png,original,456,1.7595999999999998
457,00000457.jpg,00000457.png,original,457,3.7984
458,00000458.jpg,00000458.png,original,458,2.2536
459,00000459.jpg,00000459.png,original,459,1.7153999999999998
460,00000460.jpg,00000460.png,original,460,3.396
461,00000461.jpg,00000461.png,original,461,1.7626
462,00000462.jpg,00000462.png,original,462,1.657
463,00000463.jpg,00000463.png,original,463,1.6344
464,00000464.jpg,00000464.png,original,464,2.5984
465,00000465.jpg,00000465.png,original,465,2.5542
466,00000466.jpg,00000466.png,original,466,2.533
467,00000467.jpg,00000467.png,original,467,1.7477999999999998
468,00000468.jpg,00000468.png,original,468,2.3256
469,00000469.jpg,00000469.png,original,469,2.5624
470,00000470.jpg,00000470.png,original,470,1.841
471,00000471.jpg,00000471.png,original,471,1.6222
472,00000472.jpg,00000472.png,original,472,3.6336
473,00000473.jpg,00000473.png,original,473,3.5594
474,00000474.jpg,00000474.png,original,474,1.6568
475,00000475.jpg,00000475.png,original,475,2.5644
476,00000476.jpg,00000476.png,original,476,1.7452
477,00000477.jpg,00000477.png,original,477,2.9002
478,00000478.jpg,00000478.png,original,478,3.5242
479,00000479.jpg,00000479.png,original,479,3.3004
480,00000480.jpg,00000480.png,original,480,1.8234
481,00000481.jpg,00000481.png,original,481,3.7284
482,00000482.jpg,00000482.png,original,482,2.4286
483,00000483.jpg,00000483.png,original,483,1.8824
484,00000484.jpg,00000484.png,original,484,1.6924
485,00000485.jpg,00000485.png,original,485,2.148
486,00000486.jpg,00000486.png,original,486,1.794
487,00000487.jpg,00000487.png,original,487,3.65
488,00000488.jpg,00000488.png,original,488,2.351
489,00000489.jpg,00000489.png,original,489,3.8854
490,00000490.jpg,00000490.png,original,490,2.3622
491,00000491.jpg,00000491.png,original,491,2.3428
492,00000492.jpg,00000492.png,original,492,2.452
493,00000493.jpg,00000493.png,original,493,2.2586
494,00000494.jpg,00000494.png,original,494,4.4998000000000005
495,00000495.jpg,00000495.png,original,495,1.6604
496,00000496.jpg,00000496.png,original,496,3.4328000000000003
497,00000497.jpg,00000497.png,original,497,3.448
498,00000498.jpg,00000498.png,original,498,3.6188
499,00000499.jpg,00000499.png,original,499,1.7212
500,00000500.jpg,00000500.png,original,500,2.6348000000000003
501,00000501.jpg,00000501.png,original,501,1.8212
502,00000502.jpg,00000502.png,original,502,1.6864
503,00000503.jpg,00000503.png,original,503,2.4932
504,00000504.jpg,00000504.png,original,504,1.657
505,00000505.jpg,00000505.png,original,505,2.4068
506,00000506.jpg,00000506.png,original,506,3.5534
507,00000507.jpg,00000507.png,original,507,1.928
508,00000508.jpg,00000508.png,original,508,2.5352
509,00000509.jpg,00000509.png,original,509,1.8528
510,00000510.jpg,00000510.png,original,510,2.3424
511,00000511.jpg,00000511.png,original,511,3.5108
512,00000512.jpg,00000512.png,original,512,1.6262
513,00000513.jpg,00000513.png,original,513,2.6892
514,00000514.jpg,00000514.png,original,514,1.726
515,00000515.jpg,00000515.png,original,515,4.9048
516,00000516.jpg,00000516.png,original,516,2.631
517,00000517.jpg,00000517.png,original,517,2.7456
518,00000518.jpg,00000518.png,original,518,3.5808
519,00000519.jpg,00000519.png,original,519,2.4484
520,00000520.jpg,00000520.png,original,520,2.1862
521,00000521.jpg,00000521.png,original,521,2.3832
522,00000522.jpg,00000522.png,original,522,2.7574
523,00000523.jpg,00000523.png,original,523,1.5981999999999998
524,00000524.jpg,00000524.png,original,524,3.522
525,00000525.jpg,00000525.png,original,525,1.7288
526,00000526.jpg,00000526.png,original,526,1.6242
527,00000527.jpg,00000527.png,original,527,2.4006
528,00000528.jpg,00000528.png,original,528,2.585
529,00000529.jpg,00000529.png,original,529,1.5842
530,00000530.jpg,00000530.png,original,530,1.5586000000000002
531,00000531.jpg,00000531.png,original,531,2.2698
532,00000532.jpg,00000532.png,original,532,1.7158000000000002
533,00000533.jpg,00000533.png,original,533,2.4736
534,00000534.jpg,00000534.png,original,534,1.7334
535,00000535.jpg,00000535.png,original,535,4.6956
536,00000536.jpg,00000536.png,original,536,2.5624
537,00000537.jpg,00000537.png,original,537,2.1464
538,00000538.jpg,00000538.png,original,538,1.7496
539,00000539.jpg,00000539.png,original,539,1.7216
540,00000540.jpg,00000540.png,original,540,3.6264
541,00000541.jpg,00000541.png,original,541,3.7594
542,00000542.jpg,00000542.png,original,542,1.6751999999999998
543,00000543.jpg,00000543.png,original,543,2.2688
544,00000544.jpg,00000544.png,original,544,1.573
545,00000545.jpg,00000545.png,original,545,2.248
546,00000546.jpg,00000546.png,original,546,1.7392
547,00000547.jpg,00000547.png,original,547,3.637
548,00000548.jpg,00000548.png,original,548,3.8744
549,00000549.jpg,00000549.png,original,549,1.8332
550,00000550.jpg,00000550.png,original,550,3.9522
551,00000551.jpg,00000551.png,original,551,3.2718
